scenario,n_time,rep,method,detected
linear,20,91,classical_two_way_within,True
linear,20,91,bayesian_bic,True
linear,20,92,classical_two_way_within,True
linear,20,92,bayesian_bic,True
linear,20,93,classical_two_way_within,True
linear,20,93,bayesian_bic,True
linear,20,94,classical_two_way_within,True
linear,20,94,bayesian_bic,True
linear,20,95,classical_two_way_within,True
linear,20,95,bayesian_bic,True
linear,20,96,classical_two_way_within,True
linear,20,96,bayesian_bic,True
linear,20,97,classical_two_way_within,True
linear,20,97,bayesian_bic,True
linear,20,98,classical_two_way_within,True
linear,20,98,bayesian_bic,True
linear,20,99,classical_two_way_within,True
linear,20,99,bayesian_bic,True
linear,20,100,classical_two_way_within,True
linear,20,100,bayesian_bic,True
nonlinear,20,1,classical_two_way_within,True
nonlinear,20,1,bayesian_bic,True
nonlinear,20,2,classical_two_way_within,True
nonlinear,20,2,bayesian_bic,False
nonlinear,20,3,classical_two_way_within,True
nonlinear,20,3,bayesian_bic,False
nonlinear,20,4,classical_two_way_within,False
nonlinear,20,4,bayesian_bic,False
nonlinear,20,5,classical_two_way_within,False
nonlinear,20,5,bayesian_bic,False
nonlinear,20,6,classical_two_way_within,True
nonlinear,20,6,bayesian_bic,False
nonlinear,20,7,classical_two_way_within,True
nonlinear,20,7,bayesian_bic,False
nonlinear,20,8,classical_two_way_within,False
nonlinear,20,8,bayesian_bic,False
nonlinear,20,9,classical_two_way_within,True
nonlinear,20,9,bayesian_bic,False
nonlinear,20,10,classical_two_way_within,True
nonlinear,20,10,bayesian_bic,False
nonlinear,20,11,classical_two_way_within,False
nonlinear,20,11,bayesian_bic,False
nonlinear,20,12,classical_two_way_within,False
nonlinear,20,12,bayesian_bic,False
nonlinear,20,13,classical_two_way_within,False
nonlinear,20,13,bayesian_bic,False
nonlinear,20,14,classical_two_way_within,False
nonlinear,20,14,bayesian_bic,False
nonlinear,20,15,classical_two_way_within,False
nonlinear,20,15,bayesian_bic,False
nonlinear,20,16,classical_two_way_within,False
nonlinear,20,16,bayesian_bic,False
nonlinear,20,17,classical_two_way_within,False
nonlinear,20,17,bayesian_bic,False
nonlinear,20,18,classical_two_way_within,False
nonlinear,20,18,bayesian_bic,False
nonlinear,20,19,classical_two_way_within,False
nonlinear,20,19,bayesian_bic,False
nonlinear,20,20,classical_two_way_within,False
nonlinear,20,20,bayesian_bic,False
nonlinear,20,21,classical_two_way_within,True
