setting,reference,truth,n_datasets,majority_decision_agreement,cohen_kappa,decision_rate_setting,decision_rate_reference,decision_rate_abs_diff,mean_gain_correlation
mc_30_19,submitted_500_20,all,60,0.9333333333333333,0.3142857142857151,0.016666666666666666,0.08333333333333333,0.06666666666666667,0.5594121724791294
mc_30_19,submitted_500_20,False,30,1.0,,0.0,0.0,0.0,0.5113020740845756
mc_30_19,submitted_500_20,True,30,0.8666666666666667,0.29411764705882365,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.5407120763631368
